Report Id,Processing Script,Report Code,Switches,Output File,Description,Type,Trading Date,Feed To,Area,Active
MR5,H_OSG_ESTX50,E_RMHBOS.4,Yes,osg_estx50.rsk,Options Strike Grid Report for EUROSTOXX50,Report,,,Risk,Yes
MR5,H_OSG_FTSE,E_RMHBOS.4,Yes,osg_ftse.rsk,Options Strike Grid Report for FTSE,Report,,,Risk,Yes
MR5,H_OSG_NASDAQ,E_RMHBOS.4,Yes,osg_nasdaq.rsk,Options Strike Grid Report for NASDAQ,Report,,,Risk,Yes
MR5,H_OSG_NIKKEI,E_RMHBOS.4,Yes,osg_nikkei.rsk,Options Strike Grid Report for NIKKEI,Report,,,Risk,Yes
MR5,H_OSG_SMI,E_RMHBOS.4,Yes,osg_smi.rsk,Options Strike Grid Report for SMI,Report,,,Risk,Yes
MR5,H_OSG_SP500,E_RMHBOS.4,Yes,osg_sp500.rsk,Options Strike Grid Report for S&P500,Report,,,Risk,Yes
MR6,H_DIVISENS,E_RMHBOS.6,Yes,div_sens.rsk,Dividend Sensitivity,Feed&Report,,mktrisk,Risk,Yes
MR7,H_HISTVAR,E_RMHBOS.6,Yes,va_price.txt:va_vol.txt,Historical Var,Report,,,Risk,Yes
MRNOP,H_NETOPENPOS,G_OPTN.2,Yes,netoppos.prn,Net Open Positions,Report,,,Risk,Yes
MT950,H_MT950,SFT_MT950,No,mt950.txt,Swift Message,Feed&Report,Previous,cars,Finance,Yes
OPS1,H_ADACCRGT,AUD_ACCRGT,Yes,adaccrgt.txt,Audit on Access Rights per label,Report,,,Operations,Yes
OPS1,H_ADDTACON,AUD_CONS,Yes,addtacon.txt,Audit on Data Consistency,Report,,,Operations,Yes
OPS1,H_ADFINTAB,G_AUCFG.1,Yes,adfintab.txt,Audit on whatever,Report,,,Operations,Yes
OPS1,H_ADGRPDEF,AUD_GRPDEF,Yes,adgrpdef.txt,Audit on Group Definition,Report,,,Operations,Yes
OPS1,H_ADPTFGRP,AUD_PTFGRP,Yes,adptfgrp.txt,Audit on Portfolios attached to user groups,Report,,,Operations,Yes
OPS1,H_ADTEMPL,AUD_TEMPL,Yes,adtempl.txt,Audit on Templates used in groups,Report,,,Operations,Yes
OPS2,H_SENTRY,H_SENTRY,Yes,sentry.csv,Sentry extract,Feed&Report,,sentry,Operations,Yes
